Measure,sex,Age,Year,No. of deaths,Upper bound,Lower Bound
Deaths,Female,15-19,2006,64.0997580704482,97.80727999353726,39.54256456277932
Deaths,Male,20-24,2006,99.98684054420964,143.74944954259655,63.40329334783127
Deaths,Female,20-24,2006,80.97913998362337,128.03603374076783,47.14564533218452
Deaths,Male,25-29,2006,83.87788818116293,115.72672211456155,56.01397497579463
Deaths,Female,25-29,2006,43.22060175230268,68.95472670278906,25.06617374984545
Deaths,Male,30-34,2006,202.04039423965745,268.9582051021463,144.08663041299363
Deaths,Female,30-34,2006,149.72615078185996,228.51147147060743,89.2729669186933
Deaths,Male,35-39,2006,403.7678379379908,553.25842409398,286.8700267573124
Deaths,Female,35-39,2006,185.40965386295304,279.7914011833369,114.8370302368607
Deaths,Male,40-44,2006,702.7362706861104,990.3340796849336,483.5242557149225
Deaths,Female,40-44,2006,329.096807391914,485.1194537637049,211.07199411474008
Deaths,Male,45-49,2006,1027.3515062402828,1470.7670047637762,689.7703555141709
Deaths,Female,45-49,2006,641.3795523585973,931.213741853826,414.7186338641053
Deaths,Male,50-54,2006,1538.8245877448812,2213.821786020564,1015.3102516923664
Deaths,Female,50-54,2006,956.4844483868142,1388.764766755433,626.3860725342031
Deaths,Male,55-59,2006,2076.888052368634,2997.2739499114045,1389.543101563633
Deaths,Female,55-59,2006,1141.4329777489347,1662.877951441969,744.8683999228945
Deaths,Male,60-64,2006,2642.325711159703,3725.393921742899,1748.5603583188235
Deaths,Female,60-64,2006,1936.2456290322905,2701.0719923644974,1325.5195044605575
Deaths,Male,65-69,2006,3662.5987161049375,5085.015336116379,2508.5088407709627
Deaths,Female,65-69,2006,2521.468453160296,3441.251890590864,1799.0833632933288
Deaths,Male,70-74,2006,4032.1226877976833,5437.258465627567,2894.4648552375893
Deaths,Female,70-74,2006,2995.36423991254,3922.685739393792,2198.080889957528
Deaths,Male,75-79,2006,4206.500372704301,5615.537513151049,3104.314119127302
Deaths,Female,75-79,2006,3567.259567624848,4652.770439873714,2746.7534182822847
Deaths,Male,15-49,2006,2584.0585348773952,3593.6611552139766,1776.1929899564234
Deaths,Female,15-49,2006,1493.911664201699,2179.739673144216,971.6832800392208
Deaths,Male,50-69,2006,9920.637067378157,13901.049335013988,6675.688095900599
Deaths,Female,50-69,2006,6555.631508328336,9160.178713743331,4565.310975499091
Deaths,Male,80-84,2006,3225.570924250779,4121.341110767612,2467.744468734966
Deaths,Female,80-84,2006,4093.1784531494886,5117.422131254085,3196.9537547328155
Deaths,Male,85-89,2006,1879.026884663668,2364.382006875529,1477.89663930243
Deaths,Female,85-89,2006,3022.6484462329463,3826.5671398064287,2378.8399593950085
Deaths,Male,90-94,2006,720.9171316722843,902.568305145128,577.2020745845289
Deaths,Female,90-94,2006,1324.6160848115917,1676.4989294118225,1021.0367088144948
Deaths,Male,50-74,2006,13952.759755175848,19480.77338105869,9584.52684498177
